wl,n
3.00E-02,0.902641
3.03E-02,0.90136
3.06E-02,0.90007
3.09E-02,0.898776
3.12E-02,0.89748
3.15E-02,0.896181
3.18E-02,0.894879
3.21E-02,0.893574
3.25E-02,0.892272
3.28E-02,0.890978
3.31E-02,0.889702
3.34E-02,0.888465
3.38E-02,0.887297
3.41E-02,0.886214
3.45E-02,0.885174
3.48E-02,0.883982
3.51E-02,0.882511
3.55E-02,0.880785
3.58E-02,0.878678
3.62E-02,0.876481
3.66E-02,0.874556
3.69E-02,0.872787
3.73E-02,0.871074
3.77E-02,0.869363
3.81E-02,0.86761
3.84E-02,0.865776
3.88E-02,0.863816
3.92E-02,0.861676
3.96E-02,0.859282
4.00E-02,0.856515
4.04E-02,0.853138
4.08E-02,0.84889
4.12E-02,0.844123
4.16E-02,0.83975
4.20E-02,0.83622
4.25E-02,0.833486
4.29E-02,0.831514
4.33E-02,0.830332
4.37E-02,0.830106
4.42E-02,0.831546
4.46E-02,0.835363
4.51E-02,0.840168
4.55E-02,0.842632
4.60E-02,0.840353
4.64E-02,0.834485
4.69E-02,0.828622
4.74E-02,0.824426
4.78E-02,0.821603
4.83E-02,0.820021
4.88E-02,0.819896
4.93E-02,0.821242
4.98E-02,0.823304
5.03E-02,0.825546
5.08E-02,0.828171
5.13E-02,0.831901
5.18E-02,0.834838
5.23E-02,0.833377
5.28E-02,0.829407
5.34E-02,0.827279
5.39E-02,0.827432
5.44E-02,0.82669
5.50E-02,0.824603
5.55E-02,0.827179
5.61E-02,0.836419
5.67E-02,0.847178
5.72E-02,0.856583
5.78E-02,0.86484
5.84E-02,0.871787
5.90E-02,0.877083
5.95E-02,0.881709
6.01E-02,0.88723
6.07E-02,0.893026
6.14E-02,0.898025
6.20E-02,0.903174
6.26E-02,0.90997
6.32E-02,0.918486
6.38E-02,0.927667
6.45E-02,0.937008
6.51E-02,0.946536
6.58E-02,0.955843
6.64E-02,0.966053
6.71E-02,0.979802
6.78E-02,0.995102
6.84E-02,1.008374
6.91E-02,1.02101
6.98E-02,1.034766
7.05E-02,1.049624
7.12E-02,1.065902
7.19E-02,1.084606
7.27E-02,1.10556
7.34E-02,1.12624
7.41E-02,1.145158
7.49E-02,1.162416
7.56E-02,1.17799
7.64E-02,1.191939
7.71E-02,1.20437
7.79E-02,1.215264
7.87E-02,1.224503
7.95E-02,1.231821
8.03E-02,1.236636
8.11E-02,1.23724
8.19E-02,1.235379
8.27E-02,1.238136
8.35E-02,1.24801
8.44E-02,1.260593
8.52E-02,1.272048
8.60E-02,1.281354
8.69E-02,1.289829
8.78E-02,1.301036
8.87E-02,1.317938
8.95E-02,1.338809
9.04E-02,1.358004
9.13E-02,1.377503
9.23E-02,1.402077
9.32E-02,1.42568
9.41E-02,1.442601
9.50E-02,1.446582
9.60E-02,1.441629
9.70E-02,1.445146
9.79E-02,1.45689
9.89E-02,1.470505
9.99E-02,1.487711
1.01E-01,1.508878
1.02E-01,1.533322
1.03E-01,1.560693
1.04E-01,1.590166
1.05E-01,1.623784
1.06E-01,1.662533
1.07E-01,1.699263
1.08E-01,1.72842
1.09E-01,1.745129
1.10E-01,1.749212
1.11E-01,1.751025
1.13E-01,1.75456
1.14E-01,1.756805
1.15E-01,1.746277
1.16E-01,1.732785
1.17E-01,1.74317
1.18E-01,1.776007
1.19E-01,1.829849
1.21E-01,1.898678
1.22E-01,1.964435
1.23E-01,2.009692
1.24E-01,2.025857
1.26E-01,2.027361
1.27E-01,2.0246
1.28E-01,2.0159
1.29E-01,1.998814
1.31E-01,1.969362
1.32E-01,1.937598
1.33E-01,1.912352
1.35E-01,1.887895
1.36E-01,1.86161
1.37E-01,1.836981
1.39E-01,1.816682
1.40E-01,1.798334
1.42E-01,1.781051
1.43E-01,1.764089
1.44E-01,1.748911
1.46E-01,1.73703
1.47E-01,1.727671
1.49E-01,1.718598
1.50E-01,1.708028
1.52E-01,1.696399
1.53E-01,1.685403
1.55E-01,1.675988
1.56E-01,1.66756
1.58E-01,1.659934
1.59E-01,1.653007
1.61E-01,1.646665
1.63E-01,1.640837
1.64E-01,1.635374
1.66E-01,1.630056
1.68E-01,1.624859
1.69E-01,1.619821
1.71E-01,1.614983
1.73E-01,1.610173
1.74E-01,1.604986
1.76E-01,1.599814
1.78E-01,1.595135
1.80E-01,1.59077
1.81E-01,1.586642
1.83E-01,1.58271
1.85E-01,1.578947
1.87E-01,1.575331
1.89E-01,1.571839
1.91E-01,1.568439
1.93E-01,1.565172
1.95E-01,1.56207
1.97E-01,1.559103
1.98E-01,1.556257
2.00E-01,1.553522
2.02E-01,1.55089
2.04E-01,1.548354
2.07E-01,1.545909
2.09E-01,1.54355
2.11E-01,1.541272
2.13E-01,1.539071
2.15E-01,1.536943
2.17E-01,1.534884
2.19E-01,1.532892
2.21E-01,1.530963
2.24E-01,1.529095
2.26E-01,1.527285
2.28E-01,1.52553
2.30E-01,1.523828
2.33E-01,1.522177
2.35E-01,1.520575
2.37E-01,1.51902
2.40E-01,1.51751
2.42E-01,1.516043
2.45E-01,1.514619
2.47E-01,1.513234
2.50E-01,1.511889
2.52E-01,1.51058
2.55E-01,1.509308
2.57E-01,1.50807
2.60E-01,1.506866
2.62E-01,1.505695
2.65E-01,1.504555
2.67E-01,1.503445
2.70E-01,1.502364
2.73E-01,1.501312
2.76E-01,1.500287
2.78E-01,1.499288
2.81E-01,1.498315
2.84E-01,1.497367
2.87E-01,1.496443
2.90E-01,1.495543
2.93E-01,1.494665
2.95E-01,1.493809
2.98E-01,1.492974
3.01E-01,1.49216
3.04E-01,1.491366
3.07E-01,1.490591
3.11E-01,1.489835
3.14E-01,1.489098
3.17E-01,1.488379
3.20E-01,1.487676
3.23E-01,1.486991
3.26E-01,1.486322
3.30E-01,1.485668
3.33E-01,1.485031
3.36E-01,1.484408
3.40E-01,1.4838
3.43E-01,1.483206
3.46E-01,1.482626
3.50E-01,1.482059
3.53E-01,1.481506
3.57E-01,1.480965
3.61E-01,1.480437
3.64E-01,1.479921
3.68E-01,1.479416
3.71E-01,1.478923
3.75E-01,1.478442
3.79E-01,1.477971
3.83E-01,1.477511
3.87E-01,1.477061
3.90E-01,1.476621
3.94E-01,1.476191
3.98E-01,1.475771
4.02E-01,1.47536
4.06E-01,1.474958
4.10E-01,1.474565
4.14E-01,1.474181
4.19E-01,1.473805
4.23E-01,1.473438
4.27E-01,1.473078
4.31E-01,1.472727
4.36E-01,1.472383
4.40E-01,1.472047
4.44E-01,1.471718
4.49E-01,1.471396
4.53E-01,1.471081
4.58E-01,1.470773
4.62E-01,1.470471
4.67E-01,1.470176
4.72E-01,1.469888
4.76E-01,1.469605
4.81E-01,1.469329
4.86E-01,1.469058
4.91E-01,1.468794
4.96E-01,1.468535
5.01E-01,1.468281
5.06E-01,1.468033
5.11E-01,1.46779
5.16E-01,1.467553
5.21E-01,1.46732
5.26E-01,1.467092
5.31E-01,1.466869
5.37E-01,1.466651
5.42E-01,1.466437
5.48E-01,1.466228
5.53E-01,1.466023
5.59E-01,1.465823
5.64E-01,1.465627
5.70E-01,1.465434
5.75E-01,1.465246
5.81E-01,1.465062
5.87E-01,1.464882
5.93E-01,1.464705
5.99E-01,1.464532
6.05E-01,1.464363
6.11E-01,1.464197
6.17E-01,1.464034
6.23E-01,1.463875
6.29E-01,1.46372
6.36E-01,1.463567
6.42E-01,1.463418
6.48E-01,1.463271
6.55E-01,1.463128
6.61E-01,1.462988
6.68E-01,1.46285
6.75E-01,1.462716
6.82E-01,1.462584
6.88E-01,1.462455
6.95E-01,1.462328
7.02E-01,1.462204
7.09E-01,1.462083
7.16E-01,1.461964
7.23E-01,1.461847
7.31E-01,1.461733
7.38E-01,1.461622
7.45E-01,1.461512
7.53E-01,1.461405
7.60E-01,1.4613
7.68E-01,1.461197
7.76E-01,1.461096
7.83E-01,1.460997
7.91E-01,1.4609
7.99E-01,1.460806
8.07E-01,1.460713
8.15E-01,1.460622
8.23E-01,1.460533
8.32E-01,1.460445
8.40E-01,1.46036
8.48E-01,1.460276
8.57E-01,1.460194
8.65E-01,1.460113
8.74E-01,1.460034
8.83E-01,1.459957
8.92E-01,1.459881
9.00E-01,1.459807
9.09E-01,1.459734
9.19E-01,1.459663
9.28E-01,1.459593
9.37E-01,1.459525
9.46E-01,1.459458
9.56E-01,1.459392
9.65E-01,1.459328
9.75E-01,1.459265
9.85E-01,1.459203
9.95E-01,1.459143
1.00E+00,1.459083
1.01E+00,1.459025
1.02E+00,1.458968
1.04E+00,1.458912
1.05E+00,1.458858
1.06E+00,1.458804
1.07E+00,1.458752
1.08E+00,1.4587
1.09E+00,1.45865
1.10E+00,1.4586
1.11E+00,1.458552
1.12E+00,1.458504
1.13E+00,1.458458
1.14E+00,1.458412
1.15E+00,1.458368
1.17E+00,1.458324
1.18E+00,1.458281
1.19E+00,1.458239
1.20E+00,1.458198
1.21E+00,1.458157
1.23E+00,1.458118
1.24E+00,1.458079
1.25E+00,1.458041
1.26E+00,1.458004
1.28E+00,1.457967
1.29E+00,1.457931
1.30E+00,1.457896
1.31E+00,1.457862
1.33E+00,1.457828
1.34E+00,1.457795
1.35E+00,1.457763
1.37E+00,1.457731
1.38E+00,1.4577
1.40E+00,1.457669
1.41E+00,1.45764
1.42E+00,1.45761
1.44E+00,1.457582
1.45E+00,1.457553
1.47E+00,1.457526
1.48E+00,1.457499
1.50E+00,1.457472
1.51E+00,1.457447
